X;Y;Z;depth;Bed_Alt
583558.774;130209.8802;2739.930841;105.430671;2634.5
583593.2614;130319.6361;2739.698527;109.528747;2630.17
583593.2614;130319.6361;2739.698527;109.528747;2630.17
583566.1823;130234.3643;2739.404211;113.083667;2626.321
583566.1823;130234.3643;2739.404211;113.083667;2626.321
584795.0634;130429.3712;2561.769907;40.325578;2521.444
584795.0634;130429.3712;2561.769907;40.325578;2521.444
583553.6153;130196.6511;2740.596066;100.322042;2640.274
583553.6153;130196.6511;2740.596066;100.322042;2640.274
582570.4126;130774.6509;2765.662506;20.194086;2745.469
582508.607;130018.9458;2825.431978;35.832261;2789.6
582514.2679;130013.6723;2826.146078;29.934819;2796.211
584791.2973;130408.0084;2562.526885;36.90488;2525.622
584791.2973;130408.0084;2562.526885;36.90488;2525.622
583988.3869;129668.3715;2694.941844;38.8885;2656.053
582757.4146;130918.5964;2755.465045;11.907716;2743.557
584487.955;130099.8678;2615.65019;9.036799;2606.613
584487.955;130099.8678;2615.65019;9.036799;2606.613
582840.9339;130964.6178;2766.588694;22.11255;2744.476
583545.8689;130171.0585;2742.134782;96.086904;2646.048
583545.8689;130171.0585;2742.134782;96.086904;2646.048
582842.3308;130971.2232;2766.540897;23.305099;2743.236
582578.3947;130770.441;2766.787379;22.807374;2743.98
583980.8991;129668.3093;2695.582456;38.867144;2656.715
582514.9741;130004.9307;2828.016607;24.091882;2803.925
584487.6465;130105.5842;2616.375707;11.051288;2605.324
584486.3571;130110.5207;2617.082609;11.175197;2605.907
584486.3571;130110.5207;2617.082609;11.175197;2605.907
584766.9431;130331.0268;2566.452626;17.554999;2548.898
584766.9431;130331.0268;2566.452626;17.554999;2548.898
582747.5868;130904.1267;2757.239234;16.807611;2740.432
582840.5626;130976.8923;2763.437993;22.925111;2740.513
582835.7829;130947.545;2768.444388;23.968245;2744.476
584485.5014;130115.0268;2617.585467;13.003686;2604.582
582584.4151;130765.6982;2768.12103;29.350477;2738.771
583959.6545;129668.8914;2697.456524;39.196958;2658.26
583960.2796;129668.8471;2697.439533;39.841731;2657.598
584485.2952;130120.1999;2617.972722;13.947919;2604.025
584485.2952;130120.1999;2617.972722;13.947919;2604.025
582515.4028;129989.7816;2830.284323;20.299018;2809.985
584485.5251;130127.0106;2618.300311;14.461168;2603.839
582736.4629;130887.3693;2758.413843;14.488784;2743.925
583946.6636;129670.0943;2698.349737;37.663225;2660.687
583940.8379;129670.5707;2698.85447;36.844326;2662.01
584484.6626;130132.3322;2618.916356;13.479596;2605.437
584484.6626;130132.3322;2618.916356;13.479596;2605.437
582832.8734;130938.052;2770.01923;22.566257;2747.453
583933.3973;129670.9928;2699.257427;37.909047;2661.348
583532.0113;130126.3043;2745.708955;100.382809;2645.326
583532.0113;130126.3043;2745.708955;100.382809;2645.326
584483.8993;130135.8454;2619.315742;15.476598;2603.839
582541.8245;130805.0086;2760.272106;7.70539;2752.567
582592.849;130760.3358;2769.684549;33.642756;2736.042
583643.1952;129294.454;2745.047493;13.462934;2731.584
583405.1333;129549.9296;2787.796922;45.317098;2742.48
583640.7562;129297.3628;2745.354146;13.019244;2732.335
583639.2447;129301.2668;2745.35628;13.032088;2732.324
583639.2447;129301.2668;2745.35628;13.032088;2732.324
584484.1881;130141.7226;2619.817715;15.557586;2604.26
584484.1881;130141.7226;2619.817715;15.557586;2604.26
582727.0447;130876.0543;2760.045088;14.465243;2745.58
583643.2288;129291.0617;2745.297846;14.773638;2730.524
582551.5656;130800.6342;2760.615691;9.33603;2751.28
583404.0516;129537.4884;2788.048499;46.412522;2741.636
583404.0516;129537.4884;2788.048499;46.412522;2741.636
582718.3949;130867.8171;2760.247743;13.932438;2746.315
583403.972;129536.9147;2788.066736;46.489285;2741.577
583403.972;129536.9147;2788.066736;46.489285;2741.577
582703.8913;130856.8976;2760.273242;15.061128;2745.212
583403.4269;129530.6744;2788.228922;47.779439;2740.449
583403.4269;129530.6744;2788.228922;47.779439;2740.449
583918.8434;129672.0196;2700.332826;38.101958;2662.231
583919.9043;129671.9638;2700.314537;38.304393;2662.01
582514.6195;129973.9773;2832.861994;19.387264;2813.475
583403.3937;129529.7805;2788.249476;48.284167;2739.965
583403.3937;129529.7805;2788.249476;48.284167;2739.965
582605.04;130807.7089;2759.838477;22.348695;2737.49
584483.5858;130145.4978;2620.247422;17.150916;2603.096
583635.4954;129312.9433;2745.700993;16.046094;2729.655
583403.6091;129502.9488;2788.777732;43.800418;2744.977
583403.6091;129502.9488;2788.777732;43.800418;2744.977
583403.309;129517.6826;2788.592319;45.953941;2742.638
583403.309;129517.6826;2788.592319;45.953941;2742.638
582561.5936;130798.1802;2760.708653;14.393349;2746.315
583403.6012;129508.9062;2788.722561;44.889176;2743.833
583403.6012;129508.9062;2788.722561;44.889176;2743.833
582692.8109;130849.4014;2760.407318;18.872504;2741.535
583407.3953;129462.8163;2789.718949;35.508267;2754.211
583407.3953;129462.8163;2789.718949;35.508267;2754.211
583409.2911;129451.8675;2790.138237;31.64128;2758.497
583409.2911;129451.8675;2790.138237;31.64128;2758.497
583406.8889;129466.3513;2789.678752;36.682231;2752.997
583406.8889;129466.3513;2789.678752;36.682231;2752.997
582628.3016;130816.8324;2759.962068;24.862532;2735.1
582840.3417;130963.1065;2766.782129;23.432505;2743.35
583191.5683;130390.0177;2777.235839;47.566194;2729.67
583191.5683;130390.0177;2777.235839;47.566194;2729.67
583911.8365;129675.9208;2700.937767;37.603787;2663.334
582575.6521;130797.6431;2760.71423;18.627822;2742.086
582590.464;130801.0425;2760.482316;21.889343;2738.593
582826.3456;130925.5908;2772.292606;22.358941;2749.934
583405.7561;129473.9035;2789.647914;41.329264;2748.319
583405.7561;129473.9035;2789.647914;41.329264;2748.319
583404.5755;129483.1162;2789.407274;44.095826;2745.312
583404.5755;129483.1162;2789.407274;44.095826;2745.312
583629.2251;129324.2953;2746.20244;18.192273;2728.01
582604.2553;130756.2252;2771.167748;35.870162;2735.298
582645.5746;130822.7733;2760.311906;25.763965;2734.548
583412.3732;129434.6942;2790.829974;29.851489;2760.979
583412.3732;129434.6942;2790.829974;29.851489;2760.979
582682.5213;130842.6104;2760.633868;23.327951;2737.306
583627.554;129326.6974;2746.367499;18.121448;2728.246
583627.554;129326.6974;2746.367499;18.121448;2728.246
583412.6995;129431.4863;2790.957536;29.607673;2761.35
583412.6995;129431.4863;2790.957536;29.607673;2761.35
582662.3001;130830.0129;2760.643339;24.992208;2735.651
584483.4554;130155.3322;2621.280261;17.490784;2603.79
584483.4554;130155.3322;2621.280261;17.490784;2603.79
582672.1243;130835.5449;2760.700069;25.048937;2735.651
582547.625;130792.1125;2762.321217;9.754501;2752.567
584483.7757;130157.3078;2621.479582;18.940054;2602.54
583901.1788;129679.0528;2701.909974;37.472986;2664.437
583900.3292;129679.3798;2701.990628;37.553537;2664.437
583625.7303;129330.9561;2746.69949;22.967629;2723.732
582612.4509;130752.4211;2772.404095;35.370026;2737.034
582633.3231;129622.4074;2878.966725;91.318104;2787.649
582633.3231;129622.4074;2878.966725;91.318104;2787.649
582624.5594;130749.7996;2772.536169;36.494377;2736.042
582834.7888;130945.2342;2768.571002;25.221379;2743.35
584740.3713;130409.3555;2572.902375;11.770126;2561.132
584740.3713;130409.3555;2572.902375;11.770126;2561.132
584483.9742;130166.4013;2622.334209;20.897995;2601.436
584483.9742;130166.4013;2622.334209;20.897995;2601.436
582807.4325;130897.8737;2774.044885;22.870874;2751.174
583620.2046;129342.5494;2747.477016;22.862521;2724.615
583605.077;129376.3729;2746.914052;29.316479;2717.598
583605.077;129376.3729;2746.914052;29.316479;2717.598
583617.7344;129347.7777;2747.303652;25.174811;2722.129
583617.7344;129347.7777;2747.303652;25.174811;2722.129
583602.1299;129381.9178;2746.886029;31.345807;2715.54
584974.2371;130489.4818;2514.031826;8.25313;2505.779
583606.4241;129373.0407;2746.951241;31.441694;2715.51
583618.5734;129346.1626;2747.356405;27.735701;2719.621
583174.9201;130377.6726;2779.089983;53.269073;2725.821
583174.9201;130377.6726;2779.089983;53.269073;2725.821
584483.4384;130170.6631;2622.756307;21.516395;2601.24
582802.6615;130891.749;2774.928315;21.273613;2753.655
584734.3806;130417.9332;2574.059166;10.838079;2563.221
584734.3806;130417.9332;2574.059166;10.838079;2563.221
584483.1828;130176.7524;2623.255162;21.818947;2601.436
584483.1828;130176.7524;2623.255162;21.818947;2601.436
582511.2183;129950.132;2836.583446;17.782751;2818.801
582633.8878;130747.0116;2773.749691;38.204037;2735.546
582559.2253;130781.9077;2764.064394;15.542709;2748.522
583594.8883;129398.6144;2747.546411;34.864857;2712.682
582551.2859;130056.3175;2820.584425;39.790038;2780.794
582551.2859;130056.3175;2820.584425;39.790038;2780.794
582644.5039;129633.4845;2876.933843;97.422292;2779.511
582644.5039;129633.4845;2876.933843;97.422292;2779.511
583594.2698;129400.4058;2747.492105;35.74542;2711.747
583596.0438;129395.5666;2747.643918;34.804175;2712.84
583596.0438;129395.5666;2747.643918;34.804175;2712.84
583587.7966;129414.5173;2747.589144;35.429091;2712.16
583587.7966;129414.5173;2747.589144;35.429091;2712.16
583595.2223;129397.6548;2747.570173;35.993037;2711.577
582563.0844;130057.0285;2820.862655;39.416051;2781.447
582563.0844;130057.0285;2820.862655;39.416051;2781.447
584483.2179;130181.6999;2623.738592;24.355273;2599.383
584049.4639;129661.891;2688.847756;34.04585;2654.802
584049.4639;129661.891;2688.847756;34.04585;2654.802
582573.6452;130057.7599;2821.151328;40.68305;2780.468
582573.6452;130057.7599;2821.151328;40.68305;2780.468
582831.0437;130932.5662;2770.976499;21.953393;2749.023
583584.8122;129420.8935;2748.025338;38.38112;2709.644
584482.1383;130185.6071;2624.076567;23.581658;2600.495
584482.1383;130185.6071;2624.076567;23.581658;2600.495
583585.1227;129420.134;2747.952048;40.486069;2707.466
583163.2588;130372.1571;2780.503875;57.85251;2722.651
583163.2588;130372.1571;2780.503875;57.85251;2722.651
582641.4011;130744.7277;2774.623791;41.06269;2733.561
582509.5042;129939.4639;2837.948907;16.026094;2821.923
583583.0758;129425.1417;2748.330644;39.086033;2709.245
584480.4473;130193.8748;2624.625061;22.953521;2601.672
584480.4473;130193.8748;2624.625061;22.953521;2601.672
582584.9326;130057.8842;2821.705968;43.19434;2778.512
582584.9326;130057.8842;2821.705968;43.19434;2778.512
584480.5359;130193.2995;2624.592014;25.208696;2599.383
582514.079;130051.5952;2819.931838;35.473707;2784.458
584726.7798;130431.3409;2575.598873;15.660246;2559.939
584726.7798;130431.3409;2575.598873;15.660246;2559.939
582515.9384;130051.9706;2819.858514;37.101011;2782.758
582793.0405;130874.5264;2777.136745;21.745559;2755.391
582525.2126;130053.7802;2819.833825;38.453006;2781.381
584039.2764;129662.0024;2690.143092;35.341186;2654.802
584039.2764;129662.0024;2690.143092;35.341186;2654.802
582635.0552;129624.3117;2878.68955;100.756818;2777.933
582635.0552;129624.3117;2878.68955;100.756818;2777.933
583576.3656;129442.3571;2749.150924;41.522138;2707.629
583576.3656;129442.3571;2749.150924;41.522138;2707.629
582571.0317;130774.3579;2765.731832;22.542233;2743.19
582537.5498;130055.8818;2819.907822;42.117201;2777.791
584966.2177;130491.4343;2517.293481;8.179778;2509.114
582535.4667;130055.5936;2819.894129;42.606559;2777.288
582499.2605;130046.9875;2820.842825;32.452573;2788.39
584719.7899;130439.1118;2576.351128;14.920474;2561.431
584719.7899;130439.1118;2576.351128;14.920474;2561.431
582496.0758;130045.5138;2821.116262;31.521343;2789.595
582546.9401;130056.3128;2820.314927;41.370314;2778.945
582546.9401;130056.3128;2820.314927;41.370314;2778.945
582469.1267;130040.0148;2822.5407;17.903467;2804.637
582474.9654;130039.0791;2822.189425;22.00281;2800.187
583553.3838;129512.486;2751.289738;24.136174;2727.154
582479.0679;130039.4768;2822.007727;24.207909;2797.8
582772.7118;130842.4676;2777.702768;26.528757;2751.174
584770.4927;130310.3654;2563.774464;9.371015;2554.404
582487.0747;130041.9082;2821.787843;28.781623;2793.006
582462.9423;130041.698;2822.900998;17.243606;2805.657
582453.7955;130043.9286;2823.477473;11.148147;2812.329
584029.5099;129662.8977;2691.211414;34.855271;2656.356
584029.5099;129662.8977;2691.211414;34.855271;2656.356
583150.1802;130365.3499;2782.03588;63.459645;2718.576
583150.1802;130365.3499;2782.03588;63.459645;2718.576
582564.2813;130057.1847;2820.894443;40.345047;2780.549
582564.2813;130057.1847;2820.894443;40.345047;2780.549
582626.2023;129615.6704;2879.693273;101.444777;2778.249
582626.2023;129615.6704;2879.693273;101.444777;2778.249
582454.0285;130043.8669;2823.455125;12.839841;2810.615
582506.6382;129920.8396;2840.503704;10.683771;2829.82
584963.4089;130491.6354;2518.322604;9.2089;2509.114
583564.2392;129473.1085;2750.296779;42.667993;2707.629
583564.2392;129473.1085;2750.296779;42.667993;2707.629
584769.4027;130316.3227;2564.186553;12.131499;2552.055
582622.3291;129612.7306;2880.099017;101.850522;2778.249
582622.3291;129612.7306;2880.099017;101.850522;2778.249
582554.4884;130056.2739;2820.753829;47.237253;2773.517
582783.324;130859.2552;2778.829479;24.182501;2754.647
582769.3782;130834.3957;2778.562752;27.140673;2751.422
582558.4857;130056.5293;2820.832062;47.817876;2773.014
584020.1031;129667.0122;2691.95849;34.566189;2657.392
584020.1031;129667.0122;2691.95849;34.566189;2657.392
582640.2149;130737.7074;2777.302878;42.253362;2735.05
582579.8531;130057.835;2821.585509;42.961853;2778.624
582579.8531;130057.835;2821.585509;42.961853;2778.624
582566.6714;130057.3956;2820.958794;49.835682;2771.123
582810.1639;130901.8623;2774.044095;24.264524;2749.78
583407.2762;129371.8006;2796.575874;43.579352;2752.997
583407.2762;129371.8006;2796.575874;43.579352;2752.997
