X	Y	Bed_Alt
582804.2921	131042.5012	2746.116
582764.2921	131040.5012	2730.613
582804.2921	131040.5012	2746.581
582806.2921	131040.5012	2747.402
582764.2921	131038.5012	2731.206
582766.2921	131038.5012	2731.918
582806.2921	131038.5012	2747.918
582808.2921	131038.5012	2748.619
582766.2921	131036.5012	2732.52
582768.2921	131036.5012	2733.272
582808.2921	131036.5012	2749.069
582810.2921	131036.5012	2749.745
582768.2921	131034.5012	2733.814
582770.2921	131034.5012	2734.492
582810.2921	131034.5012	2750.188
582812.2921	131034.5012	2750.912
582770.2921	131032.5012	2735.059
582812.2921	131032.5012	2751.393
582814.2921	131032.5012	2752.193
582770.2921	131030.5012	2735.747
582772.2921	131030.5012	2736.378
582814.2921	131030.5012	2752.745
582816.2921	131030.5012	2753.448
582772.2921	131028.5012	2737.031
582774.2921	131028.5012	2737.83
582816.2921	131028.5012	2753.982
582818.2921	131028.5012	2754.717
582774.2921	131026.5012	2738.531
582776.2921	131026.5012	2739.206
582818.2921	131026.5012	2755.36
582820.2921	131026.5012	2756.238
582822.2921	131026.5012	2757.368
582776.2921	131024.5012	2739.896
582778.2921	131024.5012	2740.602
582822.2921	131024.5012	2757.904
582824.2921	131024.5012	2758.725
582778.2921	131022.5012	2741.157
582780.2921	131022.5012	2742.006
582824.2921	131022.5012	2759.103
582826.2921	131022.5012	2759.243
582780.2921	131020.5012	2742.486
582826.2921	131020.5012	2759.445
582828.2921	131020.5012	2759.519
582780.2921	131018.5012	2743.092
582828.2921	131018.5012	2759.763
582830.2921	131018.5012	2760.182
582780.2921	131016.5012	2743.919
582830.2921	131016.5012	2760.636
582832.2921	131016.5012	2761.632
582780.2921	131014.5012	2744.88
582782.2921	131014.5012	2745.735
582832.2921	131014.5012	2762.416
582834.2921	131014.5012	2763.349
582782.2921	131012.5012	2746.541
582834.2921	131012.5012	2763.854
582836.2921	131012.5012	2764.853
582782.2921	131010.5012	2747.324
582836.2921	131010.5012	2765.335
582838.2921	131010.5012	2766.296
582840.2921	131010.5012	2767.255
582782.2921	131008.5012	2748.177
582840.2921	131008.5012	2767.633
582842.2921	131008.5012	2768.152
582782.2921	131006.5012	2749.078
582842.2921	131006.5012	2768.343
582844.2921	131006.5012	2768.639
582782.2921	131004.5012	2749.955
582844.2921	131004.5012	2768.94
582846.2921	131004.5012	2769.295
582848.2921	131004.5012	2769.806
582782.2921	131002.5012	2750.501
582848.2921	131002.5012	2770.395
582850.2921	131002.5012	2770.901
582782.2921	131000.5012	2751.023
582850.2921	131000.5012	2771.414
582852.2921	131000.5012	2771.889
582854.2921	131000.5012	2772.319
582782.2921	130998.5012	2751.56
582784.2921	130998.5012	2751.951
582854.2921	130998.5012	2772.95
582856.2921	130998.5012	2773.571
582782.2921	130996.5012	2752.04
582784.2921	130996.5012	2752.407
582856.2921	130996.5012	2774.298
582858.2921	130996.5012	2774.891
582780.2921	130994.5012	2751.918
582782.2921	130994.5012	2752.565
582858.2921	130994.5012	2775.389
582860.2921	130994.5012	2775.922
582862.2921	130994.5012	2776.393
582780.2921	130992.5012	2752.359
582862.2921	130992.5012	2776.731
582864.2921	130992.5012	2777.019
582778.2921	130990.5012	2752.599
582780.2921	130990.5012	2753.286
582864.2921	130990.5012	2777.478
582866.2921	130990.5012	2777.841
582776.2921	130988.5012	2752.879
582778.2921	130988.5012	2753.477
582866.2921	130988.5012	2778.572
582868.2921	130988.5012	2779.225
582870.2921	130988.5012	2779.66
582774.2921	130986.5012	2752.995
582776.2921	130986.5012	2753.604
582870.2921	130986.5012	2780.331
582872.2921	130986.5012	2780.575
582772.2921	130984.5012	2752.883
582774.2921	130984.5012	2753.697
582872.2921	130984.5012	2781.019
582874.2921	130984.5012	2781.189
582876.2921	130984.5012	2781.546
582770.2921	130982.5012	2753.068
582772.2921	130982.5012	2753.739
582876.2921	130982.5012	2781.948
582878.2921	130982.5012	2782.747
582770.2921	130980.5012	2754.019
582878.2921	130980.5012	2783.389
582880.2921	130980.5012	2784.184
582768.2921	130978.5012	2754.167
582770.2921	130978.5012	2754.835
582880.2921	130978.5012	2784.586
582882.2921	130978.5012	2784.926
582884.2921	130978.5012	2785.193
582766.2921	130976.5012	2754.328
582768.2921	130976.5012	2754.996
582884.2921	130976.5012	2785.565
