,X,Y,alt
970825,3386,810,-59.16046265309342
1428759,331,621,3.061297200996705
1822772,802,434,-7.447151690442752
1622963,964,532,-28.24244118942488
207054,2872,1176,12.445802910535804
553726,2740,980,-29.964789665811622
996108,86,799,-27.0449709171603
2010654,1886,332,15.894923557872971
198055,2548,1182,-22.308209791763147
807318,1383,873,-18.142682907846392
770347,2414,888,19.038175784527994
1310880,2917,670,52.04882616651412
2167133,1049,231,10.579372771887392
451055,1482,1030,-0.7738454668315171
469382,2415,1021,-3.848983885247435
268340,1725,1134,-35.32564783392081
695665,3001,918,-36.14937653323568
860094,2741,853,-18.019044440916787
1746766,1872,473,11.003148857880205
1355068,1401,651,-29.305393961637947
61054,2937,1347,10.902411922307692
536114,2087,988,28.77627399296489
110100,2929,1266,33.1373954910714
1395412,2838,635,52.19306316955135
1676608,1654,507,19.085370795995914
257209,1916,1142,-42.53395125472298
499844,3088,1006,-30.131916139739587
633600,2904,944,-20.862937352048903
155153,1411,1216,-9.442753210927549
970448,3009,810,-6.816820835009821
299707,1832,1113,-9.883229059412315
1246468,1652,696,6.320985336016747
683879,159,922,-22.34463832399979
2198908,2317,163,-41.304728719043396
966181,1279,811,-13.587782594727287
1981670,2392,349,12.667634721131435
1646516,1123,521,-19.746032765713608
707419,2343,913,15.203037283999038
622453,3311,949,25.434037486784746
45538,2769,1376,11.162252446882576
1113011,2726,752,-15.432549405287318
65579,2836,1339,3.4569812454706152
781317,3320,884,12.271571878005489
2155457,1131,241,10.347972559583923
1021761,1872,789,19.708610624586527
933065,1222,824,-21.655711015416273
1374408,1655,643,9.610583868004142
2042135,1180,313,3.647207495110706
688064,2784,921,-41.02116787791056
1917158,665,384,40.220552502778446
1366520,947,646,-9.129770005950832
1200759,1464,715,-9.057330246366746
1944044,2100,370,7.843265538604555
627991,1877,946,13.72056149977061
2120351,1170,265,14.359938943985526
1229390,1320,703,-31.292351594987394
188438,1535,1189,-54.90445591774915
210907,1764,1173,-58.82523260857488
