,X,Y,alt
43001,2650,1381,-3.9784009155000604
1080652,1963,765,28.056032050580143
1744583,1703,474,19.714280973330006
959646,2365,814,6.930042822363248
1136260,1864,742,11.07147682931054
1457446,1484,610,-5.2361254690281385
713734,1182,910,-7.230787266812513
1302273,1639,673,13.466443768500994
135302,2875,1231,14.929232105777828
514895,1750,998,5.45041572692071
1263519,1925,689,34.857645097973545
320163,1961,1100,-2.067624299932959
1935700,984,374,-12.093668177385098
1905583,2005,391,6.729271059583425
1589113,1229,548,-32.399939021396676
939321,2388,822,14.006583968930954
1886866,1948,401,5.339756232929176
1731889,1138,480,-17.095511096243172
960856,1034,813,14.26445982511268
1680809,1659,505,18.450438926908646
712613,2555,911,6.865299674801463
273961,1542,1130,-37.79476408323944
442862,2936,1035,-14.046979665547951
825021,1108,866,3.994824569393586
63652,2664,1342,16.34748785903048
1927352,1717,379,2.6497415587177784
919478,2912,830,-20.699007644077483
1468777,2739,606,45.299831083681966
1423630,245,623,-2.1802644982562924
1547964,2288,568,-6.311367712638912
285864,1605,1122,-36.90270214752354
1278838,2654,683,-9.82132883697659
121720,2920,1248,33.30715438397692
649694,2820,937,-36.23591980298852
993400,3300,801,-19.666634145113676
443797,1942,1034,18.22093736365241
2155115,2327,242,-33.53482037180538
1694050,2341,499,-5.050823079322981
818254,2051,869,23.880370439025683
1598735,2337,544,-6.452933348523402
409122,1735,1052,-3.1428304515425225
1537310,1894,573,24.7022152729387
1959119,1051,361,-12.612476895626514
1978765,1242,350,1.9193975571492956
1218695,2599,708,-4.928849447078392
2073129,2322,295,-7.02317159974973
960945,1123,813,-3.2809658947894604
586733,3407,965,15.407266940153932
651981,2774,936,-31.899475275843088
649671,2797,937,-38.65764707731887
393732,1467,1060,-5.134854876225745
564266,2570,975,11.546221302928188
414571,1480,1049,0.7227056991855534
2000298,1864,338,10.1748896611698
2163618,2094,235,-8.341287596805614
12417,2898,1465,17.376080039606222
228353,2920,1162,13.296490477550833
644104,1878,939,15.878293524453511
1918251,1758,384,4.42921141698389
1339330,2315,658,-1.1751580841960276
1760039,1096,466,-19.02400987749479
1943937,1993,370,6.811177652214155
1173138,2720,727,-10.235548990450297
1207299,3203,713,-20.654394136960946
658273,2010,933,20.08846957925016
595713,1161,960,5.8616297039852725
825974,2061,866,29.407155262624656
1215480,1783,709,18.928294926730814
2180902,2032,210,-10.597830885922576
539539,1294,986,-1.1161984630566621
2044236,1607,312,-6.158936152810384
335763,1368,1091,-16.661060664884644
2039395,1793,315,17.79059737024727
1535381,2014,574,22.644533914349722
464244,3087,1024,-28.095959378177213
87384,2967,1303,24.185805252630416
2165938,2300,233,-32.84267571615419
975745,3238,808,2.1127322670149624
776948,1464,885,-20.34298359216018
1164092,3290,731,-54.594322426317376
1122053,2105,748,32.13606814580544
901510,2862,837,-19.149210223255068
1941527,1388,371,-6.130206342099427
708128,3052,913,-37.65782241416355
126986,585,1240,112.68735507533938
1260004,3253,691,-56.478284508133584
1704304,2214,494,-2.895024467834901
390136,1636,1062,-10.1528354970892
345525,1846,1086,7.698408859466781
1754241,1309,469,-20.15890239693499
930802,1504,825,-28.175975448368263
796235,3070,878,-25.404719116934757
1318972,1266,666,-23.834896131580535
1723041,2463,485,45.40807637824764
810901,2404,872,16.869968060143947
1756859,1921,468,8.802536212490395
948234,1125,818,-3.200113640134987
1355442,1775,651,18.490468997927564
1915382,725,385,19.7648331238629
1263173,1579,689,0.41644402762631216
1831260,1548,430,6.225930642206549
1816124,1924,438,11.708925929145607
598783,2007,959,24.12697688960361
2007740,2407,334,7.5607241947400325
1528010,2789,578,61.33028236001064
708938,1372,912,-14.117568686262985
1588756,872,548,-22.466362686136563
1241475,1433,698,-14.887037771430641
1995688,2451,341,4.924141369955578
1591287,1273,547,-34.44097742570966
159362,1438,1213,-18.390964620305112
1602788,2139,542,-3.154932379987258
1574359,1325,555,-35.12015644337089
774685,1716,886,-4.844753890498396
576945,2242,969,-2.65882675779676
568947,2942,973,-15.51353769895104
1121771,1823,748,19.687661458846833
1752563,1639,470,35.07608346370489
933252,1409,824,-18.077100580137994
1415821,3075,627,-9.233785580224321
1308505,2983,671,38.096957792200556
312231,2049,1105,11.52564978319424
1776411,1525,458,1.7062505600483746
371092,1324,1072,-6.534829609175176
23008,2900,1430,5.409042303903789
1008485,3447,795,-112.02672772987034
1430700,2830,621,57.94854102780164
1928499,1043,378,-9.315714957817818
1436161,100,618,30.488576329322314
331676,2820,1094,-13.070324435844213
20863,2798,1436,18.536444625990953
326463,3110,1097,-27.376319043198237
141646,643,1225,72.07471929162648
1433195,2770,620,50.02462338024907
1761398,2455,466,40.328881984966756
307161,1625,1108,-30.576077736393472
1017498,2553,791,-1.6205336666462244
437519,1450,1037,-1.9658023422716724
1738264,1438,477,-10.626117255850204
826148,2235,866,-13.667098223261291
1616109,2661,536,51.55657260990802
2023298,882,324,4.941081906977615
1760331,1388,466,-12.004628103754385
1948975,1636,367,4.040166392495848
191862,2979,1187,21.444305345317844
135692,890,1230,60.343087056985496
1882642,1480,403,-4.513620248131247
39858,2786,1388,7.0125015487301425
1811695,1392,440,-4.72593279007333
2028694,1197,321,5.68479244927039
1066992,2924,771,-3.680743235168393
574323,1803,970,9.80274880431989
1946458,915,368,-3.410369386108414
1198769,1877,716,13.456965982020392
1286847,320,679,27.233743728627815
