,cell_x,cell_y,X,Y,alt
407,174.0,443.0,582479.0679,130039.4768,-55.049775431715716
408,320.0,844.0,582772.7118,130842.4676,-8.363065539474519
409,1319.0,578.0,584770.4927,130310.3654,-27.666930757754017
410,178.0,444.0,582487.0747,130041.9082,-58.79308674048616
411,165.0,444.0,582462.9423,130041.698,-49.08938457967315
412,161.0,445.0,582453.7955,130043.9286,-43.179213732334574
413,949.0,254.0,584029.5099,129662.8977,-33.1371004511916
415,509.0,606.0,583150.1802,130365.3499,-37.76267397012498
419,247.0,231.0,582626.2023,129615.6704,-85.25000596023528
422,187.0,383.0,582506.6382,129920.8396,-28.479371850241932
423,1416.0,669.0,584963.4089,130491.6354,-45.90178082846751
424,716.0,160.0,583564.2392,129473.1085,-46.42960705623909
426,1319.0,581.0,584769.4027,130316.3227,-29.82207597038041
427,245.0,229.0,582622.3291,129612.7306,-85.97608491644132
429,211.0,451.0,582554.4884,130056.2739,-69.80874960281244
430,326.0,853.0,582783.324,130859.2552,-2.206007381920699
431,319.0,840.0,582769.3782,130834.3957,-8.981932475014219
432,213.0,451.0,582558.4857,130056.5293,-69.85904061688325
433,944.0,257.0,584020.1031,129667.0122,-33.13271150466517
435,254.0,792.0,582640.2149,130737.7074,-46.26760980570862
436,224.0,452.0,582579.8531,130057.835,-61.61832335783447
438,217.0,452.0,582566.6714,130057.3956,-70.70353667736617
439,339.0,874.0,582810.1639,130901.8623,-1.0080786254357008
440,638.0,109.0,583407.2762,129371.8006,-24.737898329336986
442,231.0,451.0,582593.4554,130056.8039,-60.81578253518319
444,855.0,271.0,583842.9839,129695.8459,-36.060625356552464
448,225.0,807.0,582581.9353,130768.2916,-48.50550387204157
449,255.0,442.0,582642.7958,130037.2873,-59.675603427774604
451,190.0,432.0,582511.4482,130018.4828,-62.486441918036235
453,223.0,452.0,582578.4001,130057.78300000001,-72.92465416647792
454,1318.0,585.0,584767.7343,130323.1353,-31.796413751901582
455,938.0,257.0,584008.1829,129667.0782,-33.82795823486504
457,238.0,452.0,582608.6397,130057.0107,-61.33818033196394
459,225.0,452.0,582582.5365,130057.8904,-73.16698767581147
460,464.0,405.0,583059.4424,129964.0907,-54.38300923326551
462,248.0,788.0,582628.6232,130729.5181,-45.41110953930047
464,854.0,272.0,583840.4713,129697.1551,-40.21132474060414
465,466.0,397.0,583063.5128,129947.5237,-54.85375770338169
467,638.0,103.0,583408.7373,129359.431,-22.524213479872742
469,136.0,683.0,582403.3217,130520.0894,-28.879390570780743
470,707.0,189.0,583545.6326,129532.8059,-39.436308928472954
473,334.0,866.0,582799.542,130886.4598,-0.6803754002248752
474,246.0,449.0,582623.1717,130052.0913,-61.86869032327286
476,468.0,386.0,583068.3094,129925.5733,-56.9430800391865
